"name","district","price","rooms_left"
"Ararat Studio","Fatih","1291.6436502773659","1"
"Letter Hotel","Beyoglu","1293.70028846299","7"
"Pera Sultan Suit","Beyoglu","1297.10476290632","6"
"Taksim Mood","Beyoglu","1308.40762294636","14"
"Résidence Le Rêve","Beyoglu","1310.0431324750448","7"
"HOTEL ÜMİT YENİKAPI","Fatih","1316.58517058978","13"
"BLUE ROYAL HOTEL","Fatih","1320.67394441148","8"
"The House of Tulpan","Beyoglu","1322.44918376217","6"
"Mardy Hotel","Kucukcekmece","1324.76271823319","29"
"Mardy Suit Hotel","Kucukcekmece","1324.76271823319","29"
"Yenikapı Agora Otel","Fatih","1324.76271823319","2"
"casavilla Taksim","Beyoglu","1324.76271823319","8"
"KILIÇ MOTEL","karaburun mah liman cad barış sokak no 18","1324.762718233192","4"
"Istanberry - Joker Apartments","Beyoglu","1328.8514920549","1"
"Istanberry - Berry Life Apartments","Beyoglu","1334.16689802312","6"
"Istanberry - Paradise Apartments","Beyoglu","1334.16689802312","1"
"New Fatih Hotel","Fatih","1349.29536116344","12"
"Red White Hotel","Fatih","1349.29536116344","24"
"AURA HOTEL","Beyoglu","1352.5663802207991","6"
"Mayata Gallery","Beyoglu","1359.5172957177","1"
"The Red Tent Suite 23","Beyoglu","1359.517295717705","22"
"Tom Square Boutique Hotel","Fatih","1359.52012770058","5"
"Kiralık daire","Fatih","1360.313146336574","1"
"Amida Family apart","Fatih","1361.56168262856","6"
"Öz Dünya Hotel","Fatih","1361.56168262856","2"
"İSTA PALACE-GRAND BAZAAR","Fatih","1368.395776016272","6"
"Bianco Residence Taksim","Beyoglu","1388.13871246966","7"
"Taksim Pandora hotel","Beyoglu","1390.18309938051","11"
"Ocean Hagia Sophia Apart Hotel","Fatih","1390.1830993805102","2"
"StayHub","Beyoglu","1391.00085414485","1"
"Arkem Hotel 2","Maltepe","1393.0452410557","6"
"Eagle Residence Taksim","Beyoglu","1398.36064702392","5"
"Lenus Otel","Fatih","1398.36064702392","6"
"Sevil hotel","Beyoglu","1398.36064702392","1"
"Sweet Hotel Istanbul","Fatih","1398.36064702392","10"
"Red Tent Suite Akkiraz","Beyoglu","1398.3606470239279","6"
"Galley Hotel","Fatih","1399.61727114417","5"
"Gri Hours","Fatih","1406.065169430566","1"
"Hanchi Hostel","Fatih","1423.302167336336","33"
"Candy Hotel","Fatih","1431.07083759758","4"
"Fatih Hotel Erciyes","Fatih","1431.07083759758","8"
"HOTEL KOCABASOGLU","Fatih","1431.07083759758","4"
"Menesa Hotel","Fatih","1431.07083759758","12"
"TAKSİM CİTY HOTEL","Beyoglu","1431.07083759758","11"
"Pangea Hotel","Beyoglu","1431.0708375975871","1"
"New la pella suites","Beyoglu","1435.15961141929","6"
"216 Hill Suites","Pendik","1435.159611419295","11"
"Galley Port Hotel","Fatih","1455.19460314566","7"
"Taksim Sem House","Beyoglu","1456.187591073782","8"
"Marista Pansiyon","Fatih","1459.69225434954","7"
"Erenler HoTeL & HosTeL","Fatih","1466.19366025806","20"
"Grand Liza Hotel","Fatih","1471.958575814653","16"
"The Ferah Otel Old City","Fatih","1471.958575814653","7"
"Şehri naz suit","Beyoglu","1471.958575814653","5"
"Afrodit Apart","Fatih","1471.95857581466","3"
"Azalea Mansion Oldcity","Fatih","1471.95857581466","1"
"Brown 2 Mansion Oldcity","Fatih","1471.95857581466","1"
"Grand Papirus Hotel","Beyoglu","1471.95857581466","12"
"Hotel Tashkonak Istanbul","Sultanahmet 34122","1471.95857581466","24"
"KABİL HOTEL","Fatih","1471.95857581466","20"
"Old City Pansiyon","Fatih","1471.95857581466","2"
"TAKSİM SEM HOTEL","Beyoglu","1471.95857581466","6"
"The Papirus Hotel","Beyoglu","1471.95857581466","6"
"Volra Hotel","Beyoglu","1471.95857581466","1"
"sultanahmet garden apart","Fatih","1471.95857581466","1"
"Pandora taksim","Beyoglu","1476.04734963636","10"
"DYMAR HOTEL","Kucukcekmece","1484.63377466195","23"
"Harbour Suites Old City","Fatih","1490.358058012342","2"
"Wonder Wood Hotel","Fatih","1503.4421342418","12"
"Blue Istanbul Hotel","Fatih","1508.75754021002","10"
"AVRASYAQUEEN HOTEL","Fatih","1512.84631403173","8"
"Ottoman Elegance Hotel","Fatih","1512.84631403173","8"
"Taksim Seven Residence","Beyoglu","1512.84631403173","4"
"Taksim Bi Center Suites","Beyoglu","1518.97947476429","5"
"The Grand Tower Hotel","Saraç İshak Mahallesi","1521.02386167515","2"
"Rodos HAN","Beyoglu","1523.47712596817","5"
"arcadia","Beyoglu","1532.47242837593","6"
"Aram Edessa Hotel","Fatih","1533.757471577036","10"
"Taksim Peracity Hotel","Beyoglu","1537.37895696198","11"
"Aurora Eco Hotel","Fatih","1543.51211769454","10"
"Tamara Residence","Beyoglu","1545.5565046053891","14"
"SultanAhmet Coşkun 2 Apart Hotel","Fatih","1545.55650460539","1"
"ASİTANE life HOTEL","Fatih","1553.7340522488","15"
"Boss To Hotel Taksim","Bilinmiyor","1553.7340522488","15"
"Gold Corner Hotel","Fatih","1553.7340522488","5"
"The Zanadu İstanbul","Fatih","1553.7340522488","14"
"İstanbul Port Hotel","Beyoglu","1553.7340522488","20"
"Tree House Otel","Fatih","1553.734052248806","9"
"The PeraPort Hotel","Beyoglu","1555.712205195965","11"
"Antique Hostel","Fatih","1563.95598680307","15"
"Grand Ararat Hotel","Fatih","1570.08914753563","7"
"Crowned Hotel","Fatih","1571.914492991749","11"
"Hotel Estambul","Fatih","1573.76904397517","6"
"Sultanahmet Suites","Fatih","1582.35546900076","6"
"Ancient Town Hotel","Fatih","1594.62179046588","6"
"Deluxe cozy flat in Taksim 3","Beyoglu","1594.62179046588","1"
"Revina Hotel","Beyoglu","1594.62179046588","3"
"Hotel Semih","Fatih","1600.75495119844","17"
"Alha apart otel","Fatih","1612.28799669719","11"
"Breeze Garden Hotel By A&Fcompanies","Fatih","1618.74555601395","2"
"Istanbul House","Fatih","1622.83432983566","1"
"BlueRoyal Grand Bazaar","Fatih","1625.69647151085","8"
"old city houses sultanahmet","Fatih","1635.509528682949","2"
"Grand Asteria","Beyoglu","1635.50952868295","8"
"Hotel Best Apart","Fatih","1635.50952868295","5"
"Nora aparts","Fatih","1635.50952868295","3"
"Ottoman's Pearl Hotel","Fatih","1635.50952868295","8"
"Stone Home Apart","Fatih","1635.50952868295","2"
"Taksim HOLİDAY İNN SUİTE","Beyoglu","1635.50952868295","2"
"Wonder House Sultanahmet","Fatih","1635.50952868295","3"
"THE LAİLA HOTEL","Fatih","1640.416057269","20"
"Arven Hotel","Fatih","1655.95339779149","2"
"HARRAN HOTEL","Fatih","1655.95339779149","9"
"PERA m TAKSIM","Beyoglu","1655.95339779149","19"
"Begonville 2 Mansion Oldcity","Fatih","1655.9533977914919","1"
"Transit 77","Pendik","1676.397266900027","6"
"Divas Silver","Fatih","1681.30379548607","24"
"Istanbul Hub Flats","Bilinmiyor","1692.75236218686","3"
"Taksim Soushian Hotel","Beyoglu","1701.1197457577089","3"
"dolphin hotel cafe","Fatih","1709.10745747369","4"
"hotel di poesia deluxe","Beyoglu","1729.55132658222","14"
"Crowned Exclusive Hotel","Fatih","1766.35029097759","16"
"Royal Pera Taksim","Beyoglu","1800.5207579161429","4"
"SAND DOOR HOTEL","Fatih","1803.14925537296","8"
"AZAD HOMES UNKAPANI","Fatih","1807.238029194668","11"
"HAUS Pera","Beyoglu","1821.54873757064","2"
"Taxim No1 Suites","Beyoglu","1821.54873757064","6"
"A La Ca Pella","Beyoglu","1839.94821976832","1"
"Frond Door Suites","Beyoglu","1839.94821976832","5"
"Galata King Suite Hotel","Beyoglu","1839.94821976832","5"
"Ista Palace Hotel","Fatih","1839.94821976832","7"
"Müstakil bina","Fatih","1839.94821976832","1"
